"time","high","low","open","volumefrom","volumeto","close","symbol"
2017-09-22 02:00:00,0.01764,0.0126,0.01656,25095500,433650.24,0.01728,"NTO"
2017-09-23 02:00:00,0.02273,0.01742,0.01818,108100,1924.18,0.0178,"NTO"
2017-09-24 02:00:00,0.0198,0.01504,0.01724,7000600,105289.02,0.01504,"NTO"
2017-09-25 02:00:00,0.01848,0.01573,0.01612,20625200,340728.3,0.01652,"NTO"
2017-09-26 02:00:00,0.0218,0.01635,0.01635,166500,3434.9,0.02063,"NTO"
2017-09-27 02:00:00,0.02232,0.01685,0.02232,7017500,132981.63,0.01895,"NTO"
2017-09-28 02:00:00,0.01972,0.01468,0.01888,24995400,419422.81,0.01678,"NTO"
2017-09-29 02:00:00,0.01794,0.01586,0.01669,21700,380.4,0.01753,"NTO"
2017-09-30 02:00:00,0.01831,0.01613,0.01831,13822900,235127.53,0.01701,"NTO"
2017-10-01 02:00:00,0.01717,0.01365,0.01717,15064700,238775.5,0.01585,"NTO"
2017-10-02 02:00:00,0.01628,0.01276,0.01584,91100,1202.52,0.0132,"NTO"
2017-10-03 02:00:00,0.01639,0.01079,0.01294,13999000,229443.61,0.01639,"NTO"
2017-10-04 02:00:00,0.0173,0.01097,0.01603,11890800,185615.39,0.01561,"NTO"
2017-10-05 02:00:00,0.01599,0.01037,0.01599,8292500,103905.03,0.01253,"NTO"
2017-10-06 02:00:00,0.01399,0.007869,0.01268,10631400,144055.47,0.01355,"NTO"
2017-10-07 02:00:00,0.01419,0.01153,0.01375,1817600,25791.74,0.01419,"NTO"
2017-10-08 02:00:00,0.01476,0.01291,0.01476,91300,1220.68,0.01337,"NTO"
2017-10-09 02:00:00,0.01433,0.01099,0.01385,22995500,263758.39,0.01147,"NTO"
2017-10-10 02:00:00,0.01191,0.008574,0.01143,16053000,152936.93,0.009527,"NTO"
2017-10-11 02:00:00,0.01061,0.008201,0.009648,50635000,488526.48,0.009648,"NTO"
2017-10-12 02:00:00,0.01087,0.008149,0.01087,20114100,196695.78,0.009779,"NTO"
2017-10-13 02:00:00,0.01015,0.008456,0.01015,63575000,609239.23,0.009583,"NTO"
2017-10-14 02:00:00,0.03495,0.00932,0.009902,94797700,1159375.87,0.01223,"NTO"
2017-10-15 02:00:00,0.01877,0.01024,0.01195,29337000,350577.15,0.01195,"NTO"
2017-10-16 02:00:00,0.01325,0.007487,0.01152,35015400,342835.78,0.009791,"NTO"
2017-10-17 02:00:00,0.02631,0.007278,0.009518,183956000,2163322.56,0.01176,"NTO"
2017-10-18 02:00:00,0.01617,0.01115,0.01171,1519700,17795.69,0.01171,"NTO"
2017-10-19 02:00:00,0.01368,0.0114,0.01197,41431300,495932.66,0.01197,"NTO"
2017-10-20 02:00:00,0.01318,0.009589,0.01259,38858800,442601.73,0.01139,"NTO"
2017-10-21 02:00:00,0.01261,0.009611,0.01141,67012700,724407.29,0.01081,"NTO"
2017-10-22 02:00:00,0.01137,0.009573,0.01077,119781000,1290041.37,0.01077,"NTO"
2017-10-23 02:00:00,0.01063,0.008265,0.01063,30385000,251132.03,0.008265,"NTO"
2017-10-24 02:00:00,0.009372,0.007718,0.007718,80535300,710401.88,0.008821,"NTO"
2017-10-25 02:00:00,0.009748,0.008028,0.009174,450900,3619.83,0.008028,"NTO"
2017-10-26 02:00:00,0.008831,0.007065,0.008243,65958400,465996.1,0.007065,"NTO"
2017-10-27 02:00:00,0.009223,0.006917,0.006917,23081600,186268.51,0.00807,"NTO"
2017-10-28 02:00:00,0.00859,0.007445,0.008017,150800,1122.71,0.007445,"NTO"
2017-10-29 02:00:00,0.008607,0.006762,0.007992,245800,1813.27,0.007377,"NTO"
2017-10-30 01:00:00,0.009186,0.006737,0.007349,90104100,662175.03,0.007349,"NTO"
2017-10-31 01:00:00,0.01161,0.007096,0.007741,411800,2922.13,0.007096,"NTO"
2017-11-01 01:00:00,0.01011,0.007412,0.007412,87365700,647554.57,0.007412,"NTO"
2017-11-02 01:00:00,0.009132,0.004917,0.007727,3696200,28560.54,0.007727,"NTO"
2017-11-03 01:00:00,0.008583,0.003576,0.007867,529900,2652.68,0.005006,"NTO"
2017-11-04 01:00:00,0.005891,0.004418,0.005155,75100,387.14,0.005155,"NTO"
